"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Left Behind (Left Behind  #1)","Tim LaHaye/Jerry B. Jenkins",3.83,189090,"eng",342,2000,"Tyndale House Publishers","Fiction",3293,"Fiction"
"Snow Crash","Neal Stephenson/Guy Abadia",4.03,188100,"eng",438,2000,"Bantam Books","Fiction",6612,"Fiction"
"The Angel Experiment (Maximum Ride  #1)","James Patterson",4.08,187892,"eng",445,2006,"Grand Central Publishing","Fiction",7624,"Fiction"
"The Dragon Reborn (The Wheel of Time  #3)","Robert Jordan",4.25,183950,"eng",624,2002,"Tor Books","Fiction",2671,"Fiction"
"Kitchen Confidential: Adventures in the Culinary Underbelly","Anthony Bourdain",4.07,183882,"eng",312,2007,"Ecco/Harper Perennial","Biography & Autobiography",9427,"Biography & Autobiography"
"The Complete Stories and Poems","Edgar Allan Poe",4.38,183869,"eng",821,1984,"Doubleday & Company  Inc.","Fiction",1226,"Fiction"
"The Prince of Tides","Pat Conroy",4.24,178717,"eng",679,2002,"Dial Press Trade Paperback","Fiction",3473,"Fiction"
"Mrs. Dalloway","Virginia Woolf/Maureen Howard",3.79,176190,"eng",194,2002,"Houghton Mifflin Harcourt","Fiction",5595,"Fiction"
"A Separate Peace","John Knowles/David Levithan",3.57,175779,"eng",208,2003,"Scribner","Fiction",6261,"Fiction"
"The Drawing of the Three (The Dark Tower  #2)","Stephen King",4.23,173022,"eng",463,2003,"Signet","Fiction",5139,"Fiction"
"Preludes & Nocturnes (The Sandman  #1)","Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger",4.24,171841,"eng",233,1998,"Vertigo","Comics & Graphic Novels",3781,"Other"
"Patriot Games (Jack Ryan  #1)","Tom Clancy",4.14,170797,"eng",503,1992,"Berkley","Ryan, Jack (Fictitious character)",984,"Other"
"The Canterbury Tales","Geoffrey Chaucer/Nevill Coghill",3.49,168559,"eng",504,2003,"Penguin Classics","Poetry",2365,"International Literature & Poetry"
"Nickel and Dimed: On (Not) Getting by in America","Barbara Ehrenreich",3.63,168362,"eng",240,2002,"Owl Books (Henry Holt)","Business & Economics",5762,"Education, Business & Economics"
"The Trial","Franz Kafka/Max Brod/Willa Muir/Edwin Muir",3.98,168300,"eng",255,2001,"Vintage","Fiction",3724,"Fiction"
"1776","David McCullough",4.07,166916,"eng",386,2006,"Simon  Schuster","Biography & Autobiography",6243,"Biography & Autobiography"
"Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3)","Douglas Adams",4.2,166574,"eng",224,2005,"Del Rey","Fiction",2192,"Fiction"
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1)","Robert M. Pirsig",3.77,166046,"eng",540,2006,"HarperTorch","Psychology",6446,"Social Sciences & Philosophy"
"Howl's Moving Castle (Howl's Moving Castle  #1)","Diana Wynne Jones",4.29,161582,"eng",329,2001,"Harper Trophy","Juvenile Fiction",9026,"Young Adult and Children Fiction"
"The Power of Now: A Guide to Spiritual Enlightenment","Eckhart Tolle",4.13,159883,"eng",229,2004,"New World Library","Body, Mind & Spirit",7012,"Health, Personal Development & Relationships"
"The Vampire Lestat (The Vampire Chronicles  #2)","Anne Rice",4.07,156354,"eng",481,2004,"Ballantine Books","Fiction",2720,"Fiction"
"Scott Pilgrim  Volume 1: Scott Pilgrim's Precious Little Life","Bryan Lee O'Malley",4.17,155863,"eng",168,2004,"Oni Press","Comics & Graphic Novels",3267,"Other"
"Lover Eternal (Black Dagger Brotherhood  #2)","J.R. Ward",4.35,155348,"eng",464,2006,"Signet","Fiction",5325,"Fiction"
"Thinner","Richard Bachman/Stephen King",3.71,155020,"eng",320,1996,"Signet","Allegories",1513,"Education, Business & Economics"
"The Rainmaker","John Grisham",3.94,151818,"eng",419,2005,"Delta","Fiction",1489,"Fiction"
"The Shadow Rising (The Wheel of Time  #4)","Robert Jordan",4.24,148074,"eng",1007,1993,"Tom Doherty Tor Fantasy","Fiction",2471,"Fiction"
"The Guardian","Nicholas Sparks",4.15,148042,"eng",400,2005,"Grand Central Publishing","Fiction",4193,"Fiction"
"Pippi Longstocking","Astrid Lindgren/Florence Lamborn/Louis S. Glanzman",4.13,147067,"eng",160,2005,"Puffin Books","Juvenile Fiction",2558,"Young Adult and Children Fiction"
"Animal Farm / 1984","George Orwell/Christopher Hitchens",4.28,146659,"eng",400,2003,"Houghton Mifflin Harcourt","Fiction",1625,"Fiction"
"The Waste Lands (The Dark Tower  #3)","Stephen King/Ned Dameron",4.24,145740,"eng",422,2003,"Viking Adult","",3382,"Other"
